molecule,smiles,inchikey,eu_fl,us_cfr,source_url
15-pentadecanolide,O=C1CCCCCCCCCCCCCCO1,FKUPPRZPSYCDRS-UHFFFAOYSA-N,10.004,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/10.004
16-hexadecanolide,O=C1CCCCCCCCCCCCCCCO1,LOKPJYNMYCVCRM-UHFFFAOYSA-N,10.047,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/10.047
"2,3-butanediol",CC(O)C(C)O,OWBTYPJTUOEWEK-UHFFFAOYSA-N,02.133,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/02.133
"2,4,5-trimethylthiazole",Cc1nc(C)c(C)s1,BAMPVSWRQZNDQC-UHFFFAOYSA-N,,FDA SAF (FEMA 3325),https://www.fda.gov/food/food-additives-petitions/substances-added-food-formerly-eafus
2-isopropyl-3-methoxypyrazine,COc1nccnc1C(C)C,NTOPKICPEQUPPH-UHFFFAOYSA-N,14.057,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/14.057
2-methyl-3-(methylthio)furan,CSc1ccoc1C,OQVAOEIMSKZGAL-UHFFFAOYSA-N,13.152,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/13.152
2-methyl-3-furanthiol,Cc1occc1S,RUYNUXHHUVUINQ-UHFFFAOYSA-N,,FDA SAF (FEMA 3188),https://www.fda.gov/food/food-additives-petitions/substances-added-food-formerly-eafus
4-formyl-2-methoxyphenyl acetate,COc1cc(C=O)ccc1OC(C)=O,PZSJOBKRSVRODF-UHFFFAOYSA-N,09.035,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/09.035
4-hydroxybenzaldehyde,O=Cc1ccc(O)cc1,RGHHSNMVTDWUBI-UHFFFAOYSA-N,05.047,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/05.047
4-methyl-5-vinylthiazole,C=Cc1scnc1C,QUAMMXIRDIIGDJ-UHFFFAOYSA-N,,FDA SAF (FEMA 3313),https://www.fda.gov/food/food-additives-petitions/substances-added-food-formerly-eafus
4-vinylguaiacol,C=Cc1ccc(O)c(OC)c1,YOMSJEATGXXYPX-UHFFFAOYSA-N,04.009,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/04.009
acetovanillone,COc1cc(C(C)=O)ccc1O,DFYRUELUNQRZTB-UHFFFAOYSA-N,07.142,,https://data.food.gov.uk/regulated-products/flavouring_authorisations/07.142
